value,count
"[2,a/",1790
"[0,a/",1613
"[1a/",1613
"[4,a/",1613
"[2,ba/",1216
"[a,bc/",1078
"[0,ba/",1003
"[a,b/",846
"[27a8/",792
"[17a8/",786
"[2AB|ABa/",474
"[1,a/",298
"[b7a8/",291
"[2,2/",258
"[1,ba/",198
"[4C|2Ca/",145
"[2,2a/",130
"[2,2,a/",122
"[2,4,a/",122
"[0,2a/",121
"[22a/",121
"[277a88/",121
"[23a/",116
"[2728,a/",113
"[5,a/",113
"[2CD|CDE|Ea/",102
"[3C|Ca/",75
"[2,27a8/",71
"[2,4a/",71
"[5,ba/",71
"[b,2a/",64
"[227a8/",59
"[5a/",59
"[4C|CD|Da/",55
"[3A|2Aa/",40
"[CD|2CE|DEa/",39
"[2,b,a/",36
"[2,2,2/",30
"[2CD|2,CD,a/",24
"[2CD|2CD,a/",24
"[2CD|2a,CD/",24
"[2CD|7CD8a/",24
"[1,2a/",16
"[CDE|CDF|EFa/",16
"[2CD|2,CDa/",15
"[2CD|2CDa/",15
"[2CD|C2Da/",15
"[0,3,a/",12
"[13,a/",12
"[3,1a/",12
"[3,4,a/",12
"[13a/",10
"[377a88/",10
"[4,3a/",10
"[1CD|CD,2a/",8
"[2,2,2,a/",8
"[2,22a/",8
"[2,5,a/",8
"[222,a/",8
"[25,a/",8
"[2738,a/",8
"[34,a/",8
"[5,2a/",8
"[57a8/",8
"[CD|CEF|DEF,a/",8
"[CD|CEF|DEFa/",8
"[CD|CEF|EDFa/",8
"[23,ba/",6
"[3,27a8/",6
"[3,4a/",6
"[2,5a/",5
"[25a/",5
"[CD|CE|2DaE/",5
"[11C|2Ca/",4
"[12C|2Ca/",4
"[2,37a8/",4
"[237a8/",4
"[2738a/",4
"[273a8/",4
"[1,12,2a/",0
"[1,3,a/",0
"[13,2a/",0
"[13,3a/",0
"[2,2,2,2,a/",0
"[2,2,3,a/",0
"[2,23,a/",0
"[2,3,3,a/",0
"[2,33a/",0
"[223,a/",0
"[223a/",0
"[22C|2Ca/",0
"[23,2a/",0
"[23,3a/",0
"[233,a/",0
"[233a/",0
"[2a,35/",0
"[2a,3738/",0
"[3,22a/",0
"[3,23,a/",0
"[3,23a/",0
"[3,3,2a/",0
"[3,37a8/",0
"[3,5,a/",0
"[3,5a/",0
"[323a/",0
"[33,2a/",0
"[337a8/",0
"[35,a/",0
"[35a/",0
"[3738,a/",0
"[3738a/",0
"[3C|3Ca/",0
"[3C|CD|2Da/",0
"[3C|CD|7D8a/",0
"[3b,2a/",0
"[5AB|ABa/",0
"[ABa|37AB8/",0
"[CD|3CE|DEa/",0
"[CD|CE|3DaE/",0
