value,count
"[2,a/",26223
"[0,a/",23561
"[1a/",23561
"[4,a/",23561
"[a,bc/",21463
"[2,ba/",17675
"[a,b/",16655
"[0,ba/",14868
"[27a8/",11248
"[17a8/",11121
"[2AB|ABa/",6736
"[b7a8/",5331
"[1,a/",4781
"[23a/",3883
"[1,ba/",3189
"[2,2/",2737
"[4C|2Ca/",2080
"[2,2a/",1905
"[3C|Ca/",1874
"[2,2,a/",1751
"[0,2a/",1737
"[22a/",1737
"[277a88/",1737
"[2,4,a/",1733
"[b,2a/",1707
"[2728,a/",1565
"[5,a/",1565
"[2CD|CDE|Ea/",1338
"[3A|2Aa/",994
"[5,ba/",979
"[2,27a8/",940
"[2,4a/",936
"[2,b,a/",856
"[4C|CD|Da/",849
"[227a8/",780
"[5a/",776
"[CD|2CE|DEa/",573
"[0,3,a/",540
"[3,4,a/",540
"[3,1a/",462
"[4,3a/",443
"[13,a/",432
"[2CD|2a,CD/",393
"[13a/",388
"[2CD|2,CD,a/",387
"[2CD|7CD8a/",377
"[2AB|1a,AB/",369
"[2CD|2CD,a/",369
"[377a88/",360
"[2738,a/",353
"[34,a/",353
"[1,2a/",296
"[23,ba/",294
"[3,27a8/",285
"[3,4a/",285
"[2,2,2/",265
"[12,C|2Ca/",252
"[4A|A,1a/",233
"[CDE|CDF|EFa/",233
"[2CD|2,CDa/",228
"[4A|a,1A/",216
"[2CD|2CDa/",204
"[2CD|C2Da/",204
"[2,37a8/",195
"[237a8/",186
"[2738a/",186
"[273a8/",186
"[AB|AC|BD|CDa/",171
"[4A|1Aa/",170
"[4A|77A88a/",166
"[222,a/",135
"[2,22a/",129
"[2,1C|2Ca/",125
"[1AB|2,a,AB/",121
"[2,2,2,a/",121
"[2,5,a/",121
"[2,CDEF|CDEF,a/",121
"[CD|CEF|DEF,a/",121
"[1CD|CD,2a/",120
"[4,4,2a/",120
"[4,AB|2a,AB/",120
"[5,2a/",120
"[ABCD|2a,ABCD/",120
"[a,b,c/",120
"[6,C|2Ca/",119
"[1ABCD|a,ABCD/",112
"[1AB|1a,AB/",112
"[1AB|7AB8a/",112
"[1AB|a,2AB/",112
"[25,a/",112
"[2CDEF|CDEF,a/",112
"[5,1a/",112
"[57a8/",112
"[7AB8a|4,AB/",112
"[CDE|CDFG|EFG,a/",112
"[CD|CEF|DEFa/",112
"[CD|CEF|EDFa/",112
"[2Aa|BCDE|A,BCDE/",107
"[2Aa|A,1728/",106
"[2Aa|3BC|ABC/",104
"[2Aa|34A/",99
"[2Aa|0,2,A/",92
"[2Aa|4,2A/",88
"[3C|CD|2Da/",88
"[2AB|2AC|BCa/",78
"[ABa|13,AB/",78
"[12C|2Ca/",75
"[11C|2Ca/",74
"[1AB|2,ABa/",71
"[2,5a/",71
"[2,CDE|7CDE8a/",71
"[4A|4B|ABa/",70
"[ABa|37AB8/",68
