enc	genome
Aa|33A	(0,0,{2},{1},[C_3,C_4])
2,3,2a	(0,1,{0,2},{},[S_1⊕1])
2,3,3a	(0,1,{0,2},{},[S_1⊕1])
2,22a	(0,2,{0,1},{},[C_3,S_1⊕1])
222a	(0,2,{0,1},{},[C_3,S_1⊕1])
2,2,2a	(0,2,{0,1},{},[S_1⊕1])
2,2,3a	(0,2,{0,1},{},[S_1⊕1])
2728a	(0,3,{0,1,2},{},[C_3,C_4,S_1⊕1])
2,23a	(0,3,{0,1,2},{},[C_3,S_1⊕1])
2,27a8	(0,3,{0,1,2},{},[C_3,S_1⊕1])
AB|3AaB	(0,3,{0,1},{},[C_3,C_4,S_1⊕1])
232a	(0,3,{0,1},{},[C_4,S_1⊕1])
6a	(0,3,{1,2},{},[C_3,S_1⊕1])
3AB|ABa	(0,3,{2},{1},[C_3,C_4,S_1⊕1])
3AB|a,AB	(0,3,{2},{1},[C_3,C_4,S_1⊕1])
6,a	(0,3,{2},{},[C_3,S_1⊕1])
2AB|ABa	(2,0,{1},{1},[C_3,S_1])
2AB|a,AB	(2,0,{1},{1},[C_3,S_1])
4A|A,a	(2,0,{1},{1},[C_3,S_1])
4A|Aa	(2,0,{1},{1},[C_3,S_1])
AB|2AaB	(2,2,{0,1},{},[C_3,S_1,S_1⊕1])
2,4a	(2,3,{0,1,2},{},[C_3,S_1,S_1⊕1])
24a	(2,3,{0,1,2},{},[C_3,S_1,S_1⊕1])
2,4,a	(2,3,{0,2},{},[C_3,S_1,S_1⊕1])
a,24	(2,3,{0,2},{},[C_3,S_1,S_1⊕1])
3A|2Aa	(2,3,{0,2},{},[S_1,S_1⊕1])
4,2a	(2,3,{0,2},{},[S_1,S_1⊕1])
47a8	(2,3,{2},{},[C_3,S_1,S_1⊕1])
a,223	S_8
3A|3,Aa	S_9
3A|A,3a	S_9
