value,count
"[2,a/",128
"[0,a/",119
"[1a/",119
"[4,a/",119
"[2,ba/",88
"[0,ba/",73
"[17a8/",61
"[27a8/",61
"[a,bc/",40
"[a,b/",36
"[2,2/",31
"[1,a/",16
"[b7a8/",15
"[1,ba/",10
"[0,2a/",8
"[2,2,a/",8
"[2,2a/",8
"[22a/",8
"[277a88/",8
"[5,a/",8
"[227a8/",5
"[4C|2Ca/",5
"[5,ba/",5
"[5a/",5
"[2,2,2/",4
