count,genome
237,"(3,1,{0,2,3},{},[S_18,S_1⊕1,S_2⊕1,S_7])"
236,"(2,3,{0},{0,1},[S_2⊕1,S_3])"
228,"(1,1,{0},{0},[S_15,S_23,S_2⊕1,S_5])"
227,"(1,2,{0,1,3},{},[S_12,S_14,S_23,S_2⊕1,S_4,S_6,S_8])"
226,"(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8])"
225,"(1,0,{1,3},{},[S_1,S_15,S_3⊕1,S_6])"
224,"(1,2,{0,1,3},{},[S_12,S_18,S_2⊕1,S_4,S_6,S_8])"
223,"(1,1,{3},{0,2,3},[(2,3,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_23,S_2⊕1,S_3⊕1])"
220,"(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4])"
220,"(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_4,S_5,S_7])"
219,"(1,4,{0,1,3},{},[S_1,S_14,S_2⊕1,S_7])"
218,"(2,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1])"
217,"(0,1,{0},{2},[S_1⊕1,S_3,S_5])"
216,"(3,3,{2},{0,1,2},[S_2,S_2⊕1,S_3])"
215,"(1,1,{0,3},{},[S_21,S_23,S_2⊕1,S_3⊕1,S_4,S_8])"
215,"S_5"
214,"(1,2,{3},{3},[(2,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_15,S_23,S_2⊕1,S_3⊕1,S_5,S_5⊕1])"
213,"(1,0,{1,3},{},[S_1,S_15,S_18,S_23,S_6])"
213,"(3,1,{3},{},[S_12,S_1⊕1,S_2⊕1,S_4,S_7,S_8])"
212,"(1,0,{1},{},[(2,3,{0},{0,1}),S_1,S_12,S_23,S_27,S_3⊕1,S_5⊕1])"
209,"(1,2,{1,3},{},[S_1,S_12,S_21,S_23,S_2⊕1,S_4,S_6,S_8])"
209,"(1,4,{1},{},[S_1,S_12,S_2⊕1,S_9])"
206,"S_2⊕3"
204,"(3,2,{0,1,3},{},[S_1,S_14,S_1⊕1,S_2⊕1,S_8])"
203,"(4,2,{1,3},{},[(2,3,{0},{0,1}),S_1,S_12,S_2,S_27,S_2⊕1])"
200,"(1,4,{0,1},{},[S_1,S_21,S_23,S_7])"
200,"(3,3,{0},{0,1,2},[S_2⊕1,S_3])"
199,"(4,0,{1,3,4},{},[(3,4,{0,1,3},{}),S_1,S_12,S_12⊕2,S_2,S_7,S_7⊕1])"
197,"(1,2,{1,3},{},[S_12,S_18,S_2⊕1,S_3⊕1,S_4,S_5,S_6,S_8])"
197,"(3,4,{1,3},{},[S_1,S_1⊕1,S_2⊕1,S_8,S_9])"
197,"S_6⊕1"
197,"S_7⊕1"
194,"(2,2,{1,3},{},[(3,3,{0},{0,1,2}),S_1,S_12,S_2,S_27,S_2⊕1,S_2⊕2])"
192,"(1,0,{1,3},{},[(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_12⊕2,S_21,S_7])"
192,"(1,0,{1},{},[S_1,S_3⊕1,S_6])"
192,"(3,2,{3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_5,S_8])"
191,"(1,2,{1,3},{},[S_1,S_12,S_22,S_4])"
190,"(1,2,{3},{},[S_1,S_11,S_12,S_15,S_23,S_2⊕1,S_3⊕1,S_4,S_5])"
190,"(2,0,{1},{},[(1,1,{0},{0,2}),S_1,S_2,S_27,S_2⊕2])"
189,"(3,2,{3},{},[S_1,S_12,S_15,S_1⊕1,S_3⊕1,S_5])"
187,"(3,1,{0,3},{},[S_16,S_1⊕1,S_2⊕1,S_8])"
185,"(1,0,{1,3},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),S_1,S_12,S_12⊕2,S_21,S_7])"
183,"(1,2,{1,3},{},[S_1,S_11,S_12,S_3⊕1,S_5,S_6,S_8])"
182,"(1,2,{0,1,3},{},[S_12,S_18,S_21,S_2⊕1,S_6,S_8])"
181,"(4,2,{3},{0,1,3},[(2,3,{0},{0,1}),(3,3,{2},{0,2}),S_2,S_2⊕1,S_3⊕1])"
181,"S_4"
180,"(3,4,{0,3},{},[S_1,S_18,S_2⊕1,S_3,S_8])"
179,"(1,0,{1,2,3},{},[(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,1,3},{}),S_1,S_12⊕2,S_21,S_6])"
179,"(1,2,{1,3},{},[S_1,S_12,S_18,S_2⊕1,S_3⊕1,S_5])"
179,"(1,3,{0,1},{},[S_1,S_2⊕1,S_7])"
179,"(3,1,{0,3},{},[S_13,S_1⊕1,S_2⊕1,S_5,S_8])"
177,"(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8])"
177,"(2,4,{1,2,3},{},[S_1,S_1⊕1,S_3⊕1,S_6])"
176,"(1,4,{0,1},{},[S_1,S_21,S_23,S_7,S_8])"
176,"(1,4,{3},{0},[(2,2,{0},{1}),(2,3,{0},{0,1}),S_1,S_12,S_2⊕1])"
176,"(3,4,{0,1,3},{},[S_12,S_14,S_1⊕1,S_21,S_2⊕1,S_4,S_6,S_7,S_8])"
175,"(2,0,{1},{},[(3,1,{0},{0,2}),S_1,S_12,S_2,S_27,S_2⊕2])"
174,"(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_8])"
173,"(3,2,{0},{0,1},[S_2⊕1,S_5])"
172,"(4,0,{1,3,4},{},[(3,3,{2},{0,2}),(3,4,{0,3},{}),S_1,S_12⊕2,S_7,S_7⊕1])"
172,"S_18⊕1"
171,"(3,2,{1,3},{},[S_1,S_1⊕1,S_22,S_2⊕1,S_3⊕1,S_5,S_8])"
170,"(2,4,{1,2,3},{},[S_1,S_12,S_1⊕1,S_2⊕1])"
