count,genome
50,"(2,0,{1,2},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_18⊕1,S_5⊕1,S_6])"
50,"(2,0,{1},{1},[(1,1,{0},{0,2}),(3,3,{0},{1,2}),S_1,S_30,S_3⊕1,S_5⊕1])"
50,"(4,0,{1,2,4},{},[(1,1,{3},{}),(2,3,{0},{0,1}),(3,1,{0,2,3},{}),(3,1,{0,2},{}),S_1,S_12⊕2,S_14⊕2,S_27,S_5⊕1,S_6,S_9])"
50,"(4,0,{1,2,4},{},[(3,1,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_15,S_18⊕1,S_1⊕3,S_31,S_5⊕1,S_8])"
50,"(4,2,{1},{1,3},[(1,1,{0},{0,2}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{2},{0,2}),S_1,S_19,S_30,S_3⊕1,S_5⊕1])"
49,"(0,0,{1,2},{},[(1,4,{0,1,3},{}),S_18⊕1,S_27,S_29,S_31,S_5⊕1])"
49,"(1,0,{1,2},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),(3,2,{0},{0,1}),S_1,S_12,S_21,S_5⊕1,S_9])"
49,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,3},{}),S_1,S_6])"
49,"(1,0,{1,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,2}),S_1,S_12,S_14,S_30])"
49,"(1,0,{1,3},{},[S_12,S_23,S_6])"
49,"(1,0,{1},{},[(2,3,{0},{0,1}),(3,3,{0},{1,2}),(3,3,{2},{0,1,2}),S_1,S_12,S_22,S_22⊕2,S_7⊕3])"
49,"(1,0,{1},{},[(3,1,{0,3},{}),(3,2,{0,3},{}),S_1,S_1⊕3,S_30])"
49,"(1,2,{1,3},{},[S_1,S_12,S_18,S_23,S_3⊕1,S_5,S_6])"
49,"(1,4,{0,1,3},{},[S_12,S_14,S_18,S_2⊕1,S_4,S_5,S_6,S_8,S_9])"
49,"(1,4,{1,3},{},[S_1,S_12,S_21,S_23,S_2⊕1,S_6,S_9])"
49,"(2,0,{1,2,3},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,3,{2},{0,2}),S_1⊕3,S_6,S_7])"
49,"(2,0,{1,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),S_1,S_14⊕1,S_27,S_5⊕1])"
49,"(2,2,{3},{0,1,3},[(1,1,{0},{0,2}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_19,S_23,S_2⊕1,S_3⊕1])"
49,"(2,4,{1,2,3},{},[S_1,S_12,S_1⊕1,S_6,S_7])"
49,"(3,1,{3},{},[S_12,S_18,S_1⊕1,S_4,S_5,S_9])"
49,"(3,2,{1,3},{},[S_1,S_1⊕1,S_22,S_3⊕1,S_5,S_8])"
49,"(3,2,{3},{0},[S_1,S_1⊕1,S_23,S_3⊕1,S_5])"
49,"(3,2,{3},{},[S_1,S_12,S_15,S_1⊕1,S_8])"
49,"(3,4,{0,1,3},{},[S_14,S_18,S_1⊕1,S_5,S_6,S_7])"
49,"(3,4,{3},{},[S_1,S_1⊕1,S_22,S_2⊕1,S_4,S_8,S_9])"
49,"(3,4,{3},{},[S_1,S_3,S_5,S_8])"
49,"(4,0,{1,4},{},[(1,1,{0},{0,2}),(1,4,{1,3},{}),(2,3,{0},{0,1}),S_1,S_22,S_22⊕2,S_5⊕1,S_7⊕3])"
49,"(4,4,{3},{0,3},[(2,2,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{2},{0,2}),S_2,S_2⊕1])"
48,"(1,0,{1,2},{},[(2,2,{0},{1}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_12⊕2,S_27,S_6,S_9])"
48,"(1,0,{1,3},{},[S_12,S_14,S_23,S_6,S_8])"
48,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),S_1,S_14⊕2,S_27,S_5⊕1,S_9⊕3])"
48,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),(3,2,{0},{0,1}),(3,4,{0,1,3},{}),S_1,S_12,S_12⊕2,S_30,S_6,S_9])"
48,"(1,1,{3},{0,3},[(2,3,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{0},{1,2}),(3,3,{2},{0,1,2}),S_23,S_2⊕1,S_3⊕1])"
48,"(1,2,{0,1,3},{},[S_13,S_14,S_18,S_5,S_6])"
48,"(1,4,{2},{0,2},[(2,2,{0},{0,1}),(2,3,{0},{0,1}),(3,3,{0},{0,1}),S_1,S_2⊕1,S_3⊕1])"
48,"(2,0,{1,2},{},[(1,1,{0},{0,2}),(1,4,{0,1},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),S_1,S_14⊕1,S_1⊕3,S_2,S_27,S_30,S_31,S_9⊕3])"
48,"(3,1,{0,3},{},[S_16,S_1⊕1,S_3,S_5,S_7])"
48,"(3,1,{0,3},{},[S_18,S_1⊕1,S_2⊕1,S_3,S_7])"
48,"(3,1,{2,3},{},[S_1⊕1,S_2⊕1,S_8,S_9])"
48,"(3,2,{0,1,3},{},[S_1,S_14,S_18,S_1⊕1,S_2⊕1])"
48,"(4,0,{1,2,3,4},{},[(3,1,{0,2,3},{}),(3,4,{0,1,3},{}),S_1,S_12,S_18,S_18⊕1,S_2,S_7⊕1,S_8])"
47,"(1,0,{1,2},{},[(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,2,{0,3},{}),(3,4,{0,3},{}),S_1,S_12⊕2,S_21,S_6])"
47,"(1,0,{1,3},{},[(2,3,{0},{0,1}),(3,1,{0,2},{}),S_1,S_12,S_12⊕2,S_14,S_21,S_7])"
47,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_27,S_9])"
47,"(1,2,{1,3},{},[S_1,S_12,S_18,S_23,S_3⊕1,S_5])"
47,"(1,3,{0,1},{},[S_1,S_2⊕1,S_6,S_7])"
47,"(1,4,{0,1,2,3},{},[S_1,S_14,S_4,S_7,S_9])"
47,"(1,4,{2,3},{},[S_1,S_12,S_5,S_9])"
47,"(2,0,{1,2,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,1,3},{}),S_1,S_27,S_30,S_6])"
47,"(2,0,{1,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,3},{}),S_1,S_27,S_5⊕1,S_6])"
47,"(2,4,{0,2,3},{},[S_1,S_12,S_14,S_1⊕1,S_2⊕1,S_7])"
47,"(2,4,{2,3},{},[S_1,S_12,S_1⊕1,S_22,S_2⊕1])"
47,"(3,4,{0,1,2,3},{},[S_16,S_1⊕1,S_2⊕1,S_4,S_6,S_7,S_8])"
46,"(0,0,{1},{1},[S_2,S_2⊕2])"
46,"(1,0,{1,3},{},[(2,3,{2},{0,1}),(3,1,{0,2},{}),S_1,S_12⊕2,S_16,S_21,S_6])"
46,"(1,0,{1},{},[(2,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_1,S_12,S_22,S_22⊕2,S_7⊕3,S_8])"
46,"(1,0,{1},{},[S_1,S_12,S_23,S_3⊕1,S_6])"
46,"(1,0,{1},{},[S_1,S_12,S_27,S_2⊕2,S_30,S_3⊕1])"
46,"(1,1,{0},{0,3},[(2,3,{2},{0,1}),(3,3,{2},{0,1,2}),S_23,S_2⊕1])"
46,"(1,1,{2},{0,2},[(2,2,{0},{0,1}),(2,3,{0},{0,1}),S_2⊕1,S_3⊕1])"
46,"(1,2,{3},{3},[(3,1,{0},{0,2}),S_15,S_23,S_2⊕2,S_5,S_5⊕1])"
46,"(1,4,{1,3},{},[S_12,S_22,S_23,S_3⊕1,S_5,S_8,S_9])"
46,"(2,0,{1,2,4},{},[(0,1,{0,3},{}),(1,4,{0,1,3},{}),(1,4,{0,1},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,4,{0,1},{}),S_1,S_14⊕1,S_2,S_5⊕1])"
46,"(2,0,{1,2},{},[(1,1,{0},{0,2}),(1,4,{0,1,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),(3,4,{0,3},{}),S_1,S_14⊕1,S_27,S_30])"
46,"(2,2,{3},{0,1,3},[(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_2,S_2⊕1,S_3⊕1])"
46,"(2,4,{1},{0,1,3},[(1,1,{0},{0,2}),(3,1,{0},{0,2}),(3,2,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{0},{0,1}),(3,3,{2},{0,2}),S_30,S_3⊕1])"
46,"(2,5,{0,2},{},[(1,4,{1,3},{}),(3,3,{2},{0,2}),(3,4,{1,3},{}),(3,4,{3},{}),S_2,S_22,S_22⊕1,S_29,S_30,S_5⊕1])"
46,"(3,1,{0,3},{},[S_12,S_14,S_18,S_1⊕1,S_2⊕1,S_7])"
46,"(3,1,{3},{},[S_12,S_16,S_18,S_1⊕1,S_5])"
46,"(3,2,{3},{},[S_1,S_12,S_15,S_1⊕1])"
46,"(3,4,{0,3},{},[S_1,S_14,S_1⊕1,S_4,S_7,S_8])"
46,"(3,4,{0,3},{},[S_1,S_14,S_1⊕1,S_7,S_8])"
46,"(4,0,{1},{1},[(2,1,{0},{0}),S_3⊕1,S_5⊕1])"
46,"(4,2,{3},{1,3},[(2,1,{0},{0}),(3,3,{2},{0,2}),S_2,S_23,S_2⊕1,S_3⊕1])"
45,"(1,0,{1,2},{},[(3,1,{0,3},{}),(3,2,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12])"
45,"(1,0,{1},{3},[(2,3,{2},{0,1}),(3,1,{0},{0,2}),(3,2,{0},{0,1}),(3,3,{0},{0,1}),S_1,S_23,S_30,S_3⊕1,S_5⊕1])"
45,"(1,0,{1},{},[(0,1,{0,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),S_1,S_14⊕2,S_27,S_5⊕1,S_9⊕3])"
45,"(1,0,{1},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,3,{0},{0,1}),S_1,S_12,S_12⊕2,S_14⊕2,S_9,S_9⊕3])"
45,"(1,1,{0,3},{},[S_12,S_14,S_2⊕1,S_4,S_9])"
45,"(1,1,{0,3},{},[S_13,S_2⊕1,S_5,S_8])"
45,"(1,1,{2},{0,2,3},[(2,2,{0},{0,1}),(2,3,{0},{0,1}),(3,3,{0},{0,1,2}),S_2⊕1,S_3⊕1])"
45,"(1,1,{3},{0,3},[(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_23,S_5])"
45,"(1,2,{1,3},{},[S_1,S_12,S_15,S_4])"
45,"(1,2,{3},{0},[S_1,S_15,S_23,S_2⊕1,S_3⊕1,S_5])"
45,"(1,2,{3},{3},[(2,3,{2},{0,1}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),S_23,S_2⊕1])"
45,"(1,4,{0,3},{},[S_13,S_16,S_18,S_2⊕1,S_4,S_6,S_8])"
45,"(1,4,{1,3},{},[S_12,S_19,S_23,S_6,S_9])"
45,"(2,0,{1,2,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_27,S_31,S_5⊕1])"
45,"(2,0,{1},{1},[S_1,S_2,S_3⊕1,S_5⊕1])"
45,"(2,2,{1},{0,1},[(1,1,{0},{0,2}),(3,3,{0},{0,1}),S_1,S_2,S_3⊕1,S_5⊕1])"
45,"(4,2,{1},{0,1,3},[(1,1,{0},{0,2}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{2},{0,2}),S_19,S_30,S_3⊕1])"
45,"S_16"
44,"(1,0,{1,3,4},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),S_1,S_12,S_12⊕2,S_14,S_27,S_6,S_9])"
44,"(1,0,{1,3},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_12,S_21,S_27,S_5⊕1,S_6])"
44,"(1,0,{1,4},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{1,2}),S_1,S_27,S_6])"
44,"(1,0,{1,4},{},[(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_14⊕2,S_1⊕3])"
44,"(1,2,{1,3},{},[S_1,S_12,S_19,S_21,S_23,S_6,S_8])"
44,"(1,2,{1},{3},[(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),S_1,S_12,S_19,S_23,S_30])"
44,"(1,2,{3},{},[S_1,S_11,S_12,S_23,S_2⊕1])"
44,"(1,2,{3},{},[S_1,S_11,S_12,S_4,S_5,S_8])"
44,"(1,4,{1,2},{},[S_1,S_2⊕1,S_4,S_8,S_9])"
44,"(3,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_4,S_7,S_9])"
44,"(3,2,{0,1,3},{},[S_18,S_1⊕1,S_5,S_6])"
44,"(3,2,{3},{},[S_12,S_15,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8])"
44,"(4,0,{1,3,4},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,3},{}),S_1,S_12,S_14,S_14⊕1,S_14⊕2,S_6])"
44,"S_15⊕1"
43,"(1,0,{1,2,3},{},[(2,2,{0},{0,1}),(3,1,{0,2,3},{}),S_1,S_12⊕2,S_14,S_7])"
43,"(1,0,{1,2,3},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),(3,4,{0,1,3},{}),S_1,S_12,S_12⊕2,S_14,S_21,S_6])"
43,"(1,0,{1,3},{},[(2,3,{0},{0,1}),(3,1,{0,2},{}),S_1,S_12,S_12⊕2,S_21])"
43,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),(3,4,{0,3},{}),S_1,S_12,S_27,S_9,S_9⊕3])"
43,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),(3,2,{0},{0,1}),(3,4,{0,3},{}),S_1,S_12,S_5⊕1])"
43,"(1,2,{1,3},{},[S_1,S_12,S_23,S_3⊕1,S_5,S_8])"
43,"(1,2,{1,3},{},[S_12,S_21,S_23,S_2⊕1,S_6,S_8])"
43,"(1,2,{1},{},[(3,3,{0},{0,1,2}),(3,3,{0},{0,1}),(3,3,{2},{0,2}),S_1,S_12,S_19,S_23,S_27,S_30,S_3⊕1,S_5⊕1])"
43,"(1,2,{3},{3},[(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{2},{0,2}),S_19,S_2⊕1,S_3⊕1])"
43,"(1,4,{2},{0,2,3},[(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),S_2⊕1,S_3⊕1])"
43,"(1,4,{3},{2,3},[(2,1,{0},{0}),(3,3,{2},{0,2}),S_2⊕1,S_3⊕1])"
43,"(2,0,{1,2,3},{},[(3,1,{0,2,3},{}),(3,3,{2},{0,2}),S_14,S_14⊕1,S_1⊕3,S_6,S_9⊕3])"
43,"(2,0,{1,2},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,2,{0,3},{}),S_1,S_14⊕1,S_5⊕1])"
43,"(3,1,{0,3},{},[S_13,S_14,S_18,S_1⊕1,S_2⊕1,S_5,S_7])"
43,"(3,2,{0},{0,1},[S_1⊕1,S_2⊕1,S_5])"
43,"(3,2,{1},{0,1},[(1,1,{0},{0,2}),(2,3,{0},{0,1}),S_2,S_3⊕1])"
43,"(4,0,{1,2,4},{},[(1,1,{0},{0,2}),(1,4,{0,1},{}),(3,1,{0,3},{}),S_1,S_14⊕2,S_1⊕3,S_6])"
43,"(4,0,{1,2,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_14⊕1,S_14⊕2,S_2])"
43,"(4,4,{1},{0},[(1,1,{0},{0,2}),(2,2,{0},{1}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_1])"
42,"(0,0,{1},{1,3},[(1,1,{0},{0,2}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{2},{0,2}),S_30])"
42,"(0,1,{0,3},{},[S_16,S_18,S_1⊕1,S_5])"
42,"(0,1,{0,3},{},[S_16,S_4,S_5,S_8])"
42,"(0,3,{0,1,2},{},[(3,1,{0,3},{}),S_14⊕1,S_1⊕1,S_2])"
42,"(1,0,{1},{},[(2,3,{2},{0,1}),(3,3,{0},{1,2}),(3,3,{2},{0,1,2}),S_1,S_12,S_22,S_22⊕2,S_7⊕3])"
42,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),S_1,S_14⊕2,S_1⊕3,S_27,S_5⊕1,S_9⊕3])"
42,"(1,0,{1},{},[S_1,S_23,S_9])"
42,"(1,2,{3},{0,3},[(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_2⊕1,S_3⊕1])"
42,"(1,4,{0,1},{},[S_12,S_2⊕1,S_6,S_9])"
42,"(2,0,{1,2},{},[(1,1,{0},{0,2}),(1,4,{0,1,3},{}),(1,4,{0,1},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,4,{0,1},{}),S_1,S_27,S_31,S_5⊕1,S_9⊕3])"
42,"(2,2,{1},{0,3},[(1,1,{0},{0,2}),(3,3,{0},{0,1}),(3,3,{2},{0,1,2}),S_1,S_23,S_5⊕1])"
42,"(2,2,{1},{1,3},[(3,1,{0},{0,2}),S_19,S_2,S_5⊕1])"
42,"(2,2,{3},{0,1,3},[(1,1,{0},{0,2}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_19,S_2⊕1,S_3⊕1])"
42,"(2,2,{3},{0,3},[(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_2,S_2⊕1,S_3⊕1])"
42,"(2,3,{0,1,2},{},[(3,4,{0,3},{}),S_1,S_13⊕1,S_14⊕1,S_18⊕1,S_2,S_6⊕1])"
42,"(4,0,{1,2,4},{},[(1,4,{0,1,3},{}),(2,1,{0},{0}),(2,4,{0,1,2,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_14⊕1,S_14⊕2,S_6])"
42,"(4,2,{3},{0,3},[(3,3,{0},{0,1}),(3,3,{2},{0,2}),S_15,S_2,S_3⊕1,S_5,S_5⊕1])"
42,"(4,4,{2},{0,1,2,3},[(2,2,{0},{0,1}),(3,3,{0},{0,1,2}),S_2,S_2⊕1])"
42,"S_13⊕1"
41,"(1,0,{1,3,4},{},[(2,3,{0},{0,1}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1,S_12,S_14,S_27,S_6,S_9])"
41,"(1,0,{1,3},{},[(3,1,{0,2},{}),(3,1,{0,3},{}),(3,2,{0},{0,1}),(3,4,{0,3},{}),S_1,S_12,S_21])"
41,"(1,0,{1,3},{},[(3,1,{0,3},{}),(3,3,{0},{0,1}),(3,4,{0,3},{}),S_1,S_12⊕2,S_21,S_6])"
41,"(1,0,{1},{},[(2,3,{2},{0,1}),(3,1,{0,2,3},{}),S_1,S_12,S_21,S_6,S_9])"
41,"(1,0,{1},{},[(2,3,{2},{0,1}),(3,1,{0,2},{}),S_1,S_12,S_12⊕2,S_14⊕2,S_5⊕1,S_9⊕3])"
41,"(1,2,{1},{3},[(2,3,{2},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{0},{1,2}),S_19,S_23,S_3⊕1])"
41,"(1,2,{1},{},[S_1,S_22,S_23,S_2⊕1,S_3⊕1,S_8])"
41,"(1,4,{1,2},{},[S_1,S_12,S_4,S_9])"
41,"(2,0,{1,2,3,4},{},[(3,1,{0,2,3},{}),(3,2,{0,3},{}),(3,3,{2},{0,2}),(3,4,{0,1,3},{}),S_1,S_12,S_18⊕1,S_5⊕1,S_7,S_7⊕1])"
41,"(2,0,{1,2,4},{},[(1,1,{0},{0,2}),(1,4,{1,3},{}),(3,3,{0},{0,1,2}),S_1,S_22,S_27,S_29,S_5⊕1,S_7⊕3,S_9⊕3])"
41,"(2,0,{1,2,4},{},[(3,1,{0,2,3},{}),(3,4,{0,1,3},{}),S_12,S_16⊕1,S_18⊕1,S_2,S_5⊕1,S_7⊕1])"
41,"(2,0,{1,2},{},[(1,1,{0},{0,2}),(1,4,{0,1},{}),(3,1,{0,3},{}),S_1,S_14⊕1,S_2,S_27,S_31])"
41,"(2,0,{1,2},{},[(1,4,{0,1,3},{}),(3,1,{0,3},{}),S_1,S_14⊕1,S_18⊕1,S_2,S_5⊕1])"
41,"(2,0,{1,3,4},{},[(3,1,{0,2},{}),(3,1,{0,3},{}),(3,4,{0,1,3},{}),S_1,S_12,S_14,S_2])"
41,"(2,0,{1},{1,3},[(1,1,{0},{0,2}),(3,1,{0},{0,2}),(3,3,{0},{1,2}),S_2,S_3⊕1])"
41,"(2,2,{1},{0,1,3},[(1,1,{0},{0,2}),(3,3,{0},{0,1,2}),S_2,S_3⊕1])"
41,"(4,0,{2,4},{},[(3,3,{2},{0,2}),(3,4,{1,3},{}),S_1,S_12,S_2,S_29,S_5⊕1,S_7⊕3,S_8,S_9⊕1])"
41,"(4,4,{3},{0,1,3},[(1,1,{0},{0,2}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,2,{0},{0,1}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_19,S_23,S_2⊕1,S_3⊕1])"
40,"(1,0,{1,2},{},[(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,3,{2},{0,1,2}),(3,4,{0,1,3},{}),S_1,S_12,S_14⊕2,S_27,S_9,S_9⊕3])"
40,"(1,0,{1,3,4},{},[(3,1,{0,2,3},{}),(3,3,{2},{0,2}),(3,4,{0,3},{}),S_1,S_12,S_13,S_16⊕1,S_18⊕1])"
40,"(1,0,{1,3},{},[(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,1,3},{}),S_1,S_12⊕2,S_6])"
40,"(1,0,{1,4},{},[(3,1,{0,3},{}),(3,4,{0,1,3},{}),S_12,S_23,S_3⊕1,S_5⊕1])"
40,"(1,0,{1},{},[(2,2,{0},{1}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),S_1,S_22,S_22⊕2,S_27,S_5⊕1,S_7⊕3,S_9⊕3])"
40,"(1,0,{1},{},[(2,2,{0},{1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{2},{0,1,2}),S_1,S_12,S_22,S_22⊕2,S_27,S_2⊕2,S_30,S_7⊕3,S_9⊕3])"
40,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,2,{0},{0,1}),(3,4,{0,3},{}),S_1,S_12,S_6,S_9])"
40,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,3,{0},{0,1,2}),(3,3,{0},{0,1}),S_1,S_12,S_14⊕2,S_27,S_9,S_9⊕3])"
40,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),(3,4,{0,3},{}),S_1,S_12,S_21,S_6,S_9])"
40,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{0},{0,1}),(3,4,{0,3},{}),S_1,S_12⊕2,S_6])"
40,"(1,0,{1},{},[(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,2}),S_1,S_12,S_14⊕2])"
40,"(1,0,{1},{},[S_1,S_15,S_23,S_8])"
40,"(1,2,{1,3},{},[S_1,S_12,S_22,S_3⊕1,S_4,S_5,S_8])"
40,"(1,2,{1},{},[S_1,S_22,S_23,S_2⊕1,S_8])"
40,"(1,4,{3},{0,3},[(2,2,{0},{1}),(2,3,{0},{0,1}),(3,1,{0},{0,2}),(3,3,{0},{0,1,2}),(3,3,{0},{0,1}),S_1,S_12,S_19,S_2⊕1,S_30])"
40,"(2,0,{1,2,3},{},[(1,4,{0,1,3},{}),(1,4,{0,1},{}),(3,1,{0,2,3},{}),S_1,S_18⊕1,S_2,S_7⊕1])"
40,"(2,0,{1,2,4},{},[(1,1,{3},{}),(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_27,S_30,S_6,S_9])"
40,"(2,0,{1,2,4},{},[(3,1,{0,2,3},{}),(3,4,{0,1,3},{}),(3,4,{0,3},{}),S_12,S_13⊕1,S_14⊕1,S_16⊕1,S_18⊕1,S_2,S_5⊕1])"
40,"(2,0,{1,2},{},[(1,1,{0},{0,2}),(1,4,{0,1,3},{}),(3,1,{0,3},{}),S_1,S_14⊕1,S_27])"
40,"(2,0,{1,2},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),S_1⊕3,S_5⊕1,S_6])"
40,"(2,0,{1,2},{},[(3,1,{0,3},{}),S_1,S_14⊕1,S_18⊕1,S_2,S_31,S_5⊕1,S_7⊕1])"
40,"(2,0,{1,4},{},[(1,1,{3},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,3,{2},{0,1,2}),S_1,S_12,S_27,S_5⊕1,S_6,S_9])"
40,"(2,0,{1,4},{},[(1,4,{0,1,3},{}),(3,1,{0,2,3},{}),(3,1,{0,2},{}),(3,1,{0,3},{}),S_1,S_2])"
40,"(2,2,{3},{3},[(3,3,{2},{0,2}),S_2,S_23,S_2⊕1,S_3⊕1])"
40,"(2,3,{1,2},{},[(3,4,{0,3},{}),S_1,S_1⊕3,S_2,S_30,S_31,S_6⊕1])"
40,"(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_5])"
40,"(4,0,{1,3,4},{},[(1,4,{0,1},{}),(3,1,{0,2,3},{}),(3,1,{0,3},{}),(3,1,{0},{0,2}),S_1,S_12⊕2,S_21,S_6])"
39,"(1,0,{1},{},[(2,3,{0},{0,1}),(3,3,{0},{0,1,2}),S_1,S_22,S_22⊕2,S_5⊕1,S_7⊕3])"
39,"(1,0,{1},{},[(3,1,{0,3},{}),(3,3,{2},{0,2}),S_1,S_12,S_30])"
39,"(1,0,{1},{},[(3,3,{2},{0,2}),S_1,S_11,S_23,S_27,S_5⊕1])"
39,"(1,1,{3},{0,3},[(2,3,{2},{0,1}),(3,2,{0},{0,1}),(3,3,{0},{1,2}),(3,3,{2},{0,1,2}),(3,3,{2},{0,2}),S_19,S_2⊕1,S_3⊕1])"
39,"(1,2,{0,1,3},{},[S_12,S_14,S_2⊕1,S_4,S_6,S_8])"
39,"(1,2,{1,3},{},[S_1,S_12,S_4,S_8])"
39,"(1,2,{1,3},{},[S_11,S_22,S_2⊕1,S_5,S_8])"
