enc	genome
AB|ACDE|3CBaED	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8]),(1,1,{0,3},{},[S_11,S_21,S_3⊕1,S_4,S_8]),(1,1,{0,3},{},[S_12,S_15,S_19,S_2⊕1,S_3⊕1,S_4]),(1,1,{3},{0},[S_19,S_23,S_2⊕1,S_3⊕1,S_5]),(1,2,{0,1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8]),(1,2,{0,1,3},{},[S_11,S_12,S_19,S_21,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8]),(1,2,{1,3},{},[S_1,S_11,S_12,S_3⊕1,S_5,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_4,S_6,S_8]),(1,4,{0,1,2,3},{},[S_11,S_12,S_18,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{0,1,3},{},[S_11,S_12,S_13,S_23,S_6,S_9]),(1,4,{1,2,3},{},[S_12,S_16,S_21,S_2⊕1,S_4,S_6,S_8,S_9]),(3,1,{0,3},{},[S_13,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_4,S_8]),(3,1,{0,3},{},[S_1⊕1,S_21,S_3⊕1,S_8]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9])])
AB|ACD|5BCaD	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8]),(1,1,{0,3},{},[S_11,S_21,S_3⊕1,S_4,S_8]),(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_21,S_2⊕1,S_6,S_8]),(1,4,{1,2,3},{},[S_1,S_12,S_2⊕1,S_4,S_6,S_9]),(1,4,{1,2,3},{},[S_11,S_12,S_16,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(1,4,{1,3},{},[S_1,S_12,S_3⊕1,S_5,S_9]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),(3,4,{0,1},{},[S_16,S_1⊕1,S_21,S_2⊕1,S_8]),S_2,S_4⊕1])
AB|ACD|5CDaB	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8]),(1,1,{0,3},{},[S_11,S_21,S_3⊕1,S_4,S_8]),(1,2,{0,1,3},{},[S_12,S_21,S_2⊕1,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_5,S_6,S_8]),(1,4,{0,1,2,3},{},[S_11,S_12,S_18,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_6,S_9]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_2,S_4⊕1])
AB|ACD|23CDaB	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8]),(1,1,{0},{0,2},[S_2⊕1,S_5]),(1,1,{3},{},[S_12,S_2⊕1,S_4,S_7,S_9]),(1,2,{1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8]),(1,4,{0,1,2,3},{},[S_11,S_12,S_18,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(2,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1]),(3,1,{0,3},{},[S_18,S_1⊕1,S_21,S_2⊕1,S_7,S_8]),(3,1,{0,3},{},[S_1⊕1,S_2⊕1,S_7,S_8]),(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_8]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_28,S_4⊕1])
ABC|ADE|3,BCDEa	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_15,S_2⊕1,S_4,S_5,S_8]),(1,2,{0,1,3},{},[S_1,S_12,S_19,S_21,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_18,S_2⊕1,S_4,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_5,S_6,S_8]),(1,2,{1,3},{},[S_11,S_12,S_18,S_21,S_2⊕1,S_6,S_8]),(1,2,{3},{},[S_1,S_11,S_3⊕1,S_4,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_8]),(1,4,{0,1,2,3},{},[S_11,S_12,S_18,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{0,1},{},[S_11,S_12,S_23,S_2⊕1,S_6,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_2,S_4⊕1])
AB|ACD|23CaDB	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_11,S_21,S_3⊕1,S_4,S_8]),(1,1,{3},{},[S_12,S_2⊕1,S_4,S_9]),(1,4,{0,1,3},{},[S_12,S_2⊕1,S_4,S_6,S_7,S_8]),(1,4,{1,2,3},{},[S_1,S_12,S_2⊕1,S_4,S_6,S_9]),(1,4,{1,2,3},{},[S_11,S_12,S_16,S_2⊕1,S_4,S_6,S_8,S_9]),(2,1,{0},{0},[S_2⊕1,S_3]),(3,1,{0,3},{},[S_16,S_1⊕1,S_21,S_2⊕1,S_7,S_8]),(3,1,{0},{},[S_1⊕1,S_2⊕1,S_4,S_5]),(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),S_28,S_4⊕1])
AB|AC|377BaC88	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_12,S_14,S_2⊕1,S_4,S_9]),(1,2,{0,1,3},{},[S_12,S_13,S_14,S_18,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_18,S_21,S_2⊕1,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_6,S_9]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,1,{0,3},{},[S_12,S_13,S_18,S_1⊕1,S_4,S_5]),(3,1,{3},{},[S_12,S_18,S_1⊕1,S_4,S_5,S_9]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_2,S_4⊕1])
AB|AC|57BaC8	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_12,S_14,S_2⊕1,S_4,S_9]),(1,2,{0,1,3},{},[S_12,S_14,S_21,S_23,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_21,S_2⊕1,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_6,S_9]),(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_4]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_2,S_4⊕1])
AB|ACD|37CBaD8	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_12,S_15,S_19,S_2⊕1,S_3⊕1,S_4]),(1,2,{0,1,3},{},[S_12,S_18,S_19,S_21,S_23,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_18,S_21,S_2⊕1,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_19,S_21,S_6,S_8]),(1,2,{1,3},{},[S_1,S_12,S_3⊕1,S_4,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_16,S_21,S_2⊕1,S_4,S_6,S_8,S_9]),(1,4,{1,2,3},{},[S_12,S_21,S_2⊕1,S_4,S_6,S_9]),(3,1,{3},{},[S_12,S_18,S_1⊕1,S_4,S_5,S_9]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),(3,4,{0,1},{},[S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_8]),(3,4,{1,3},{},[S_1,S_1⊕1,S_5,S_8,S_9]),S_2,S_4⊕1])
AB|ACD|37CBDa8	(0,0,{1,2,4},{},[(1,1,{0,3},{},[S_12,S_15,S_19,S_2⊕1,S_3⊕1,S_4]),(1,2,{0,1,3},{},[S_12,S_18,S_19,S_21,S_23,S_6,S_8]),(1,2,{0,1,3},{},[S_12,S_18,S_21,S_2⊕1,S_6,S_8]),(1,2,{3},{},[S_1,S_12,S_23,S_2⊕1,S_3⊕1,S_4,S_5,S_8]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_5,S_6,S_9]),(1,4,{1,2,3},{},[S_12,S_2⊕1,S_4,S_6,S_9]),(1,4,{1,3},{},[S_1,S_12,S_4,S_5,S_9]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_5,S_6,S_8]),(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4,S_6,S_8]),(3,2,{1,3},{},[S_1,S_1⊕1,S_3⊕1,S_6,S_8]),S_2,S_4⊕1,S_5⊕1])
