enc	genome
ABCD|ABCDa	(0,1,{0,3},{},[S_16,S_18,S_1⊕1,S_5])
2Aa|33A	(0,1,{0,3},{},[S_1⊕1,S_1⊕2,S_8])
AB|Aa|33B	(0,1,{0},{2},[S_1⊕1,S_3,S_5])
ABCD|a,ABCD	(0,1,{3},{},[S_17,S_1⊕1,S_5])
3,17a8	(1,0,{1,3},{},[S_1,S_20,S_23,S_25,S_8])
1,3,3a	(1,0,{1,3},{},[S_1,S_20,S_25,S_6])
3,5,3a	(1,0,{1,3},{},[S_1,S_25,S_6])
3,5,2a	(1,0,{1,3},{},[S_1,S_6,S_8])
1738a	(1,0,{1,3},{},[S_13,S_20,S_23,S_25])
3,12a	(1,0,{1,3},{},[S_20,S_23,S_25,S_26,S_8])
15a	(1,0,{1,3},{},[S_20,S_23,S_25])
11a	(1,0,{3},{},[S_13,S_20])
ABCa|3,ABC	(1,1,{0,3},{},[S_13,S_2⊕1,S_5,S_8])
3AB|3AaB	(1,1,{0,3},{},[S_23,S_24,S_2⊕1,S_3⊕1,S_4,S_8])
Aa|12A	(1,1,{0},{0,2},[S_2⊕1,S_5])
Aa|2,3,2A	(1,1,{0},{0,2},[S_2⊕1])
2273a8	(1,1,{3},{},[S_10,S_12,S_16,S_25,S_2⊕1,S_4,S_5])
3,ABC|a,ABC	(1,1,{3},{},[S_11,S_2⊕1,S_5,S_8])
2773a88	(1,1,{3},{},[S_12,S_13,S_16,S_25,S_26,S_2⊕1,S_4,S_5])
343a	(1,1,{3},{},[S_12,S_25,S_4,S_5,S_9])
223a3	(1,1,{3},{},[S_12,S_2⊕1,S_4,S_9])
3,3,27a8	(1,2,{0,1,3},{},[S_1,S_14,S_19,S_20,S_25])
277388a	(1,2,{0,1,3},{},[S_12,S_13,S_18,S_20,S_21,S_23,S_24,S_26,S_2⊕1,S_8])
27738a8	(1,2,{0,1,3},{},[S_12,S_13,S_18,S_20,S_23,S_25,S_26,S_2⊕1,S_4,S_5,S_8])
2,13a	(1,2,{0,1,3},{},[S_12,S_14,S_18,S_20,S_25,S_4,S_5])
23738a	(1,2,{0,1,3},{},[S_12,S_18,S_19,S_20,S_21,S_23,S_25,S_8])
27383a	(1,2,{0,1,3},{},[S_12,S_18,S_20,S_21,S_25,S_2⊕1,S_8])
27338a	(1,2,{0,1,3},{},[S_12,S_19,S_20,S_21,S_23,S_24,S_26,S_8])
3,2738a	(1,2,{0,1,3},{},[S_12,S_19,S_20,S_21,S_23,S_25,S_26,S_8])
2758a	(1,2,{0,1,3},{},[S_12,S_20,S_21,S_23,S_24,S_26,S_2⊕1,S_8])
253a	(1,2,{0,1,3},{},[S_12,S_20,S_21,S_25,S_2⊕1,S_8])
3777a888	(1,2,{0,1,3},{},[S_13,S_15,S_20,S_23,S_24,S_25,S_2⊕1,S_8])
177a88	(1,2,{0,1,3},{},[S_13,S_15,S_20,S_25,S_2⊕1])
172a8	(1,2,{0,1,3},{},[S_13,S_18,S_20,S_26,S_2⊕1])
1728a	(1,2,{0,1,3},{},[S_13,S_18,S_20,S_26,S_5])
132a	(1,2,{0,1,3},{},[S_18,S_20,S_21,S_23])
33,27a8	(1,2,{0,1},{},[S_1,S_14,S_19,S_20])
173a8	(1,2,{1,3},{},[S_1,S_13,S_20,S_25,S_2⊕1])
3737a88	(1,2,{1,3},{},[S_1,S_15,S_19,S_20,S_23,S_25,S_2⊕1,S_8])
137a8	(1,2,{1,3},{},[S_1,S_15,S_20,S_23,S_25,S_2⊕1])
34,3a	(1,2,{1,3},{},[S_1,S_15,S_25,S_4])
3,a,34	(1,2,{1,3},{},[S_1,S_17,S_19,S_22,S_25,S_2⊕1,S_4,S_8])
3,3,4,a	(1,2,{1,3},{},[S_1,S_17,S_19,S_25,S_4])
3377a88	(1,2,{1,3},{},[S_1,S_19,S_20,S_23,S_24,S_25,S_8])
3,377a88	(1,2,{1,3},{},[S_1,S_19,S_20,S_23,S_25,S_8])
357a8	(1,2,{1,3},{},[S_1,S_19,S_20,S_25,S_2⊕1,S_8])
3,57a8	(1,2,{1,3},{},[S_1,S_19,S_20,S_25,S_8])
3,a,2738	(1,2,{1,3},{},[S_1,S_19,S_22,S_23,S_25,S_2⊕1,S_4,S_8])
3,a,25	(1,2,{1,3},{},[S_1,S_19,S_22,S_25,S_2⊕1,S_4,S_8])
3,4,3a	(1,2,{1,3},{},[S_1,S_20,S_25,S_4,S_6,S_8])
3,a,12	(1,2,{1,3},{},[S_1,S_22,S_23,S_25,S_2⊕1,S_4,S_8])
a,277388	(1,2,{1,3},{},[S_11,S_17,S_22,S_23,S_25,S_2⊕1,S_4,S_5,S_8])
a,1728	(1,2,{1,3},{},[S_11,S_17,S_22,S_2⊕1,S_5])
2,3,1a	(1,2,{1,3},{},[S_12,S_14,S_20,S_2⊕1,S_4,S_6,S_8])
27387a8	(1,2,{1,3},{},[S_12,S_15,S_18,S_20,S_21,S_25,S_2⊕1,S_4,S_5,S_8])
127a8	(1,2,{1,3},{},[S_12,S_15,S_18,S_20,S_2⊕1,S_5])
12a3	(1,2,{1,3},{},[S_12,S_18,S_20,S_25,S_2⊕1])
257a8	(1,2,{1,3},{},[S_12,S_20,S_21,S_25,S_2⊕1,S_4,S_8])
3,277a88	(1,2,{1,3},{},[S_12,S_20,S_23,S_25,S_26,S_2⊕1,S_4,S_8])
123a	(1,2,{1,3},{},[S_12,S_20,S_25,S_5])
4,33a	(1,2,{1,3},{},[S_12,S_25,S_4,S_5,S_8])
a,334	(1,2,{1,3},{},[S_17,S_19,S_22,S_25,S_2⊕1,S_4,S_5,S_8])
a,123	(1,2,{1,3},{},[S_17,S_22,S_23,S_25,S_2⊕1,S_5])
0,2,a	(1,2,{1,3},{},[S_17,S_22,S_5])
a,27338	(1,2,{1,3},{},[S_19,S_22,S_23,S_25,S_2⊕1,S_4,S_8])
577a88	(1,2,{1,3},{},[S_20,S_23,S_24,S_25,S_2⊕1,S_8])
a,2758	(1,2,{1,3},{},[S_22,S_23,S_25,S_2⊕1,S_4,S_8])
3,3,1a	(1,2,{1},{},[S_1,S_12,S_19,S_20,S_25])
1a,33	(1,2,{1},{},[S_1,S_12,S_19])
a,133	(1,2,{1},{},[S_1,S_19,S_22,S_23,S_25,S_2⊕1])
3,a,13	(1,2,{1},{},[S_1,S_19,S_22,S_23,S_25])
a,377388	(1,2,{1},{},[S_11,S_19,S_22,S_23,S_25,S_2⊕1])
