enc	genome
a,1738	(1,2,{1},{},[S_11,S_22,S_23,S_25,S_2⊕1])
a,11	(1,2,{1},{},[S_11,S_22,S_2⊕1])
a,3758	(1,2,{1},{},[S_19,S_22,S_23,S_25,S_2⊕1])
a,55	(1,2,{1},{},[S_19,S_22,S_25,S_2⊕1])
a,15	(1,2,{1},{},[S_22,S_23,S_25,S_2⊕1])
6,3a	(1,2,{3},{},[S_1,S_11,S_15,S_4])
3,6,a	(1,2,{3},{},[S_1,S_11,S_17,S_2⊕1,S_4,S_8])
3AB|a,3AB	(1,2,{3},{},[S_1,S_23,S_25,S_2⊕1,S_3⊕1,S_4,S_5,S_8])
3AB|3ABa	(1,2,{3},{},[S_1,S_23,S_25,S_2⊕1,S_4,S_5,S_8])
3AB|3a,AB	(1,2,{3},{},[S_1,S_23,S_25,S_2⊕1,S_4,S_8])
2,2,2,3a	(1,3,{0,1,2},{},[S_1,S_7])
2,2,2,2a	(1,3,{0,1,2},{},[S_7])
33,22a	(1,3,{0,1},{},[S_1,S_10,S_19,S_20])
5,22a	(1,3,{0,1},{},[S_1,S_10,S_20,S_2⊕1])
2,23,3a	(1,4,{0,1,2,3},{},[S_1,S_12,S_14,S_4,S_7,S_9])
1,2,3a	(1,4,{0,1,2,3},{},[S_1,S_14,S_4,S_7,S_9])
2,2,3,3a	(1,4,{0,1,2,3},{},[S_1,S_6,S_7])
2,3,22a	(1,4,{0,1,2,3},{},[S_10,S_20,S_2⊕1,S_4,S_6,S_8])
3,222a	(1,4,{0,1,2,3},{},[S_10,S_20,S_2⊕1,S_4,S_8])
2,2,3,2a	(1,4,{0,1,2,3},{},[S_6,S_7])
2,5,3a	(1,4,{0,1,2},{},[S_1,S_12,S_4,S_7,S_9])
3,3,22a	(1,4,{0,1,3},{},[S_1,S_10,S_19,S_20,S_25])
23,22a	(1,4,{0,1,3},{},[S_1,S_10,S_20,S_26,S_2⊕1])
1,22a	(1,4,{0,1,3},{},[S_1,S_10,S_26,S_2⊕1])
2,3,3,2a	(1,4,{0,1,3},{},[S_1,S_6,S_7])
22738a	(1,4,{0,1,3},{},[S_10,S_12,S_18,S_20,S_2⊕1,S_4,S_5,S_8])
3,223a	(1,4,{0,1,3},{},[S_10,S_12,S_20,S_25,S_2⊕1,S_4,S_8])
122a	(1,4,{0,1,3},{},[S_10,S_18,S_20,S_5])
3,232a	(1,4,{0,1,3},{},[S_10,S_19,S_20,S_21,S_25,S_8])
3,2728a	(1,4,{0,1,3},{},[S_10,S_20,S_23,S_25,S_26,S_2⊕1,S_4,S_8])
2,3738a	(1,4,{0,1,3},{},[S_12,S_14,S_18,S_20,S_25,S_2⊕1,S_4,S_5,S_8,S_9])
2,35a	(1,4,{0,1,3},{},[S_12,S_14,S_20,S_2⊕1,S_4,S_8,S_9])
AB|3,3AaB	(1,4,{0,1,3},{},[S_16,S_19,S_20,S_21,S_24,S_25,S_4,S_8])
27382a	(1,4,{0,1},{},[S_10,S_18,S_21,S_2⊕1,S_8])
12a2	(1,4,{0,1},{},[S_10,S_18,S_2⊕1])
2332a	(1,4,{0,1},{},[S_10,S_19,S_21,S_8])
252a	(1,4,{0,1},{},[S_10,S_21,S_2⊕1,S_8])
AB|33AaB	(1,4,{0,1},{},[S_16,S_19,S_21,S_24,S_4,S_8])
3,6a	(1,4,{0,3},{},[S_13,S_16,S_18,S_20,S_2⊕1,S_4,S_8])
23a738	(1,4,{1,2,3},{},[S_12,S_20,S_25,S_2⊕1,S_4,S_5,S_9])
23a5	(1,4,{1,2,3},{},[S_12,S_20,S_25,S_2⊕1,S_4,S_9])
237a38	(1,4,{1,2,3},{},[S_12,S_24,S_25,S_2⊕1,S_4,S_5,S_9])
a,23738	(1,4,{1,2,3},{},[S_17,S_19,S_22,S_23,S_25,S_2⊕1,S_4,S_5,S_8])
3a,222	(1,4,{1,2},{},[S_1,S_12,S_4,S_9])
a,235	(1,4,{1,2},{},[S_19,S_22,S_25,S_2⊕1,S_4,S_8])
377388a	(1,4,{1,3},{},[S_1,S_13,S_20,S_23,S_24,S_25,S_2⊕1,S_9])
3758a	(1,4,{1,3},{},[S_1,S_20,S_23,S_24,S_25,S_2⊕1,S_9])
3,a,2728	(1,4,{1,3},{},[S_1,S_22,S_23,S_25,S_2⊕1,S_4,S_8,S_9])
3,227a8	(1,4,{1,3},{},[S_10,S_12,S_20,S_2⊕1,S_4,S_8])
2373a8	(1,4,{1,3},{},[S_12,S_16,S_20,S_21,S_23,S_25,S_2⊕1,S_4])
273a38	(1,4,{1,3},{},[S_12,S_25,S_2⊕1,S_4,S_9])
37738a8	(1,4,{1,3},{},[S_13,S_19,S_20,S_23,S_25,S_9])
4,a,33	(1,4,{1,3},{},[S_17,S_19,S_22,S_25,S_4,S_5,S_9])
a,122	(1,4,{1,3},{},[S_17,S_22,S_2⊕1,S_5,S_9])
375a8	(1,4,{1,3},{},[S_19,S_20,S_23,S_25,S_9])
55a	(1,4,{1,3},{},[S_19,S_20,S_25,S_9])
5,a,23	(1,4,{1},{},[S_1,S_22,S_2⊕1,S_9])
13a3	(1,4,{1},{},[S_1,S_25,S_2⊕1,S_9])
2,227a8	(2,1,{0,2,3},{},[S_10,S_12,S_14,S_1⊕1,S_2⊕1])
2323a	(2,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_25,S_2⊕1])
2,2,22a	(2,1,{0,2},{},[S_10,S_1⊕1,S_2⊕1,S_7])
2,2,1a	(2,1,{0,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_7])
Aa|1,2,A	(2,1,{0},{0},[S_2⊕1,S_3])
Aa|2,2,2A	(2,2,{0},{0,1},[S_2⊕1])
ABa|2A2B	(2,2,{0},{1},[S_1⊕1,S_2⊕1])
Aa|222A	(2,3,{0},{0,1},[S_2⊕1,S_3])
AB|Ca|2ACB	(2,3,{2},{0,1},[S_2,S_2⊕1,S_3])
2,23,2a	(2,4,{0,1,2,3},{},[S_1,S_12,S_14,S_1⊕1,S_7])
2,2a,33	(2,4,{0,1,2,3},{},[S_1,S_12,S_1⊕1,S_6,S_7])
2,5,2a	(2,4,{0,1,2,3},{},[S_1,S_12,S_1⊕1,S_7])
1,2,2a	(2,4,{0,1,2,3},{},[S_1,S_14,S_1⊕1,S_7])
237a83	(2,4,{1,2,3},{},[S_12,S_1⊕1,S_25,S_2⊕1])
2a,222	(2,4,{2,3},{},[S_1,S_12,S_1⊕1])
2,223a	(3,1,{0,2,3},{},[S_10,S_12,S_14,S_1⊕1,S_2⊕1,S_4])
AB|2A3aB	(3,1,{0,2,3},{},[S_10,S_12,S_16,S_1⊕1,S_2⊕1,S_4])
237a28	(3,1,{0,2,3},{},[S_10,S_12,S_1⊕1,S_24,S_26,S_2⊕1,S_5,S_8])
2223a	(3,1,{0,2,3},{},[S_10,S_12,S_1⊕1,S_2⊕1,S_4])
277288a	(3,1,{0,2,3},{},[S_10,S_13,S_16,S_18,S_1⊕1,S_26,S_2⊕1,S_5])
2748a	(3,1,{0,2,3},{},[S_10,S_16,S_18,S_1⊕1,S_26,S_5])
ABC|2ABaC	(3,1,{0,2,3},{},[S_10,S_16,S_18,S_1⊕1,S_2⊕1])
2272a8	(3,1,{0,2,3},{},[S_10,S_16,S_1⊕1,S_26,S_2⊕1,S_5])
2,2,4a	(3,1,{0,2,3},{},[S_10,S_18,S_1⊕1,S_2⊕1,S_7])
2,23a3	(3,1,{0,2,3},{},[S_12,S_14,S_1⊕1,S_2⊕1,S_4,S_9])
AB|3A3Ba	(3,1,{0,2,3},{},[S_12,S_1⊕1,S_21,S_24,S_25,S_2⊕1,S_4])
2,273a8	(3,1,{0,3},{},[S_10,S_12,S_14,S_18,S_1⊕1,S_25,S_26,S_2⊕1,S_4,S_5])
2,277a88	(3,1,{0,3},{},[S_10,S_12,S_14,S_18,S_1⊕1,S_25,S_26,S_2⊕1,S_5])
2,34a	(3,1,{0,3},{},[S_10,S_12,S_14,S_18,S_1⊕1,S_2⊕1,S_4])
2,47a8	(3,1,{0,3},{},[S_10,S_12,S_14,S_18,S_1⊕1,S_2⊕1])
2,237a8	(3,1,{0,3},{},[S_10,S_12,S_14,S_1⊕1,S_21,S_25,S_2⊕1,S_4,S_8])
2727a88	(3,1,{0,3},{},[S_10,S_12,S_15,S_18,S_1⊕1,S_26,S_2⊕1,S_5])
27283a	(3,1,{0,3},{},[S_10,S_12,S_18,S_1⊕1,S_25,S_26,S_2⊕1,S_4])
247a8	(3,1,{0,3},{},[S_10,S_12,S_18,S_1⊕1,S_2⊕1,S_5])
243a	(3,1,{0,3},{},[S_10,S_12,S_18,S_1⊕1,S_4,S_5])
27728a8	(3,1,{0,3},{},[S_10,S_13,S_18,S_1⊕1,S_26,S_2⊕1,S_5])
AB|2,3AaB	(3,1,{0,3},{},[S_10,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_8])
2372a8	(3,1,{0,3},{},[S_10,S_16,S_1⊕1,S_21,S_23,S_26,S_2⊕1,S_8])
AB|23AaB	(3,1,{0,3},{},[S_10,S_16,S_1⊕1,S_21,S_2⊕1,S_8])
AB|4AaB	(3,1,{0,3},{},[S_10,S_16,S_1⊕1,S_3,S_5])
23728a	(3,1,{0,3},{},[S_10,S_18,S_1⊕1,S_21,S_23,S_26,S_2⊕1,S_8])
274a8	(3,1,{0,3},{},[S_10,S_18,S_1⊕1,S_26,S_2⊕1,S_5])
44a	(3,1,{0,3},{},[S_10,S_18,S_1⊕1,S_2⊕1,S_3])
27282a	(3,1,{0,3},{},[S_10,S_18,S_1⊕1,S_2⊕1])
26a	(3,1,{0,3},{},[S_10,S_18,S_1⊕1,S_5])
4,22a	(3,1,{0,3},{},[S_10,S_1⊕1,S_26,S_5,S_8])
242a	(3,1,{0,3},{},[S_10,S_1⊕1,S_5])
2777a888	(3,1,{0,3},{},[S_12,S_13,S_15,S_16,S_1⊕1,S_25,S_26,S_2⊕1,S_5])
36a	(3,1,{0,3},{},[S_12,S_13,S_18,S_1⊕1,S_4,S_5])
AB|3A7a8B	(3,1,{0,3},{},[S_12,S_15,S_1⊕1,S_21,S_2⊕1,S_8])
23a4	(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_2⊕1,S_4])
67a8	(3,1,{0,3},{},[S_12,S_18,S_1⊕1,S_5])
2327a8	(3,1,{0,3},{},[S_12,S_1⊕1,S_21,S_2⊕1,S_8])
23a728	(3,1,{0,3},{},[S_12,S_1⊕1,S_25,S_26,S_2⊕1,S_4,S_5])
ABC|3ABaC	(3,1,{0,3},{},[S_13,S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_4,S_8])
3AB|2AaB	(3,1,{0,3},{},[S_16,S_1⊕1,S_2⊕1,S_8])
4,4a	(3,1,{0,3},{},[S_18,S_26,S_3,S_5,S_8])
ABa|2,3AB	(3,1,{0},{0,2},[S_1⊕1,S_2⊕1,S_3,S_5])
Aa|34A	(3,1,{0},{0,2},[S_2⊕1,S_3,S_5])
Aa|2,1A	(3,1,{0},{0,2},[S_2⊕1,S_3])
ABa|3A3B	(3,1,{0},{0},[S_1⊕1,S_1⊕2,S_23,S_2⊕1])
1AB|ABa	(3,1,{0},{0},[S_1⊕1,S_5])
Aa|A,12	(3,1,{0},{0},[S_2⊕1,S_3,S_5])
ABa|2A3B	(3,1,{0},{2},[S_1⊕1,S_2⊕1,S_5])
Aa|6,A	(3,1,{0},{2},[S_2⊕1,S_3])
AB|a,2A3B	(3,1,{2,3},{},[S_17,S_1⊕1,S_22,S_2⊕1,S_4,S_8,S_9])
2,a,24	(3,1,{2,3},{},[S_17,S_1⊕1,S_2⊕1,S_9])
AB|a,3A3B	(3,1,{2,3},{},[S_1⊕1,S_22,S_25,S_2⊕1,S_4])
2277a88	(3,1,{3},{},[S_10,S_12,S_16,S_1⊕1,S_25,S_2⊕1,S_5])
2237a8	(3,1,{3},{},[S_10,S_12,S_1⊕1,S_25,S_2⊕1,S_4,S_8])
a,36	(3,1,{3},{},[S_11,S_17,S_1⊕1,S_22,S_2⊕1,S_4,S_5,S_8])
a,277288	(3,1,{3},{},[S_11,S_17,S_1⊕1,S_22,S_2⊕1,S_5,S_9])
3ABC|a,ABC	(3,1,{3},{},[S_11,S_1⊕1,S_2⊕1,S_5,S_8])
3748a	(3,1,{3},{},[S_12,S_15,S_16,S_18,S_1⊕1,S_25,S_4,S_5])
347a8	(3,1,{3},{},[S_12,S_15,S_18,S_1⊕1,S_25,S_2⊕1,S_4,S_5,S_8])
2737a88	(3,1,{3},{},[S_12,S_15,S_1⊕1,S_23,S_25,S_26,S_2⊕1,S_4,S_8])
477a88	(3,1,{3},{},[S_12,S_16,S_18,S_1⊕1,S_25,S_5])
2377a88	(3,1,{3},{},[S_12,S_16,S_1⊕1,S_21,S_23,S_24,S_25,S_2⊕1,S_5,S_8])
a,23728	(3,1,{3},{},[S_17,S_1⊕1,S_22,S_23,S_25,S_2⊕1,S_4,S_5,S_8,S_9])
2,a,34	(3,1,{3},{},[S_17,S_1⊕1,S_22,S_2⊕1,S_4,S_8,S_9])
a,44	(3,1,{3},{},[S_17,S_1⊕1,S_2⊕1,S_3,S_5,S_9])
2,6,a	(3,1,{3},{},[S_17,S_1⊕1,S_2⊕1,S_9])
4,4,a	(3,1,{3},{},[S_17,S_22,S_3,S_5])
2,a,25	(3,1,{3},{},[S_1⊕1,S_22,S_2⊕1,S_4,S_8,S_9])
3A|2,3Aa	(3,2,{0,1,3},{},[S_1,S_14,S_1⊕1,S_2⊕1,S_8])
23,4a	(3,2,{0,1,3},{},[S_1,S_18,S_1⊕1,S_20,S_26,S_2⊕1])
5,4a	(3,2,{0,1,3},{},[S_1,S_18,S_1⊕1,S_20,S_2⊕1])
1,4a	(3,2,{0,1,3},{},[S_1,S_18,S_1⊕1,S_26,S_2⊕1])
3A|23Aa	(3,2,{0,1,3},{},[S_1,S_1⊕1,S_21,S_3⊕1,S_8])
3A|27Aa8	(3,2,{0,1,3},{},[S_1,S_1⊕1,S_26,S_2⊕1,S_3⊕1,S_8])
2,337a8	(3,2,{0,1,3},{},[S_12,S_14,S_1⊕1,S_20,S_25,S_2⊕1,S_4,S_8])
374a8	(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_20,S_2⊕1,S_4,S_5,S_8])
45a	(3,2,{0,1,3},{},[S_12,S_18,S_1⊕1,S_20,S_2⊕1,S_4,S_8])
2,377a88	(3,2,{0,1,3},{},[S_14,S_18,S_1⊕1,S_20,S_25,S_2⊕1,S_4,S_5,S_8])
2,17a8	(3,2,{0,1,3},{},[S_14,S_18,S_1⊕1,S_20,S_25,S_5])
2,57a8	(3,2,{0,1,3},{},[S_14,S_1⊕1,S_20,S_25,S_2⊕1,S_4,S_8])
14a	(3,2,{0,1,3},{},[S_18,S_1⊕1,S_20,S_5])
3A|2,7A8a	(3,2,{0,3},{},[S_1,S_14,S_1⊕1,S_2⊕1,S_8])
3AB|2,ABa	(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_2⊕1,S_8])
3AB|2ABa	(3,2,{0,3},{},[S_1,S_18,S_1⊕1,S_5,S_8])
3A|27A8a	(3,2,{0,3},{},[S_1,S_1⊕1,S_26,S_3⊕1,S_5,S_8])
ABa|2,2,AB	(3,2,{0},{0,1},[S_1⊕1,S_2⊕1,S_5])
Aa|232A	(3,2,{0},{0,1},[S_2⊕1,S_5])
24,3a	(3,2,{1,3},{},[S_1,S_12,S_15,S_17,S_1⊕1,S_4])
3A|23aA	(3,2,{1,3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_8])
3,4,2a	(3,2,{1,3},{},[S_1,S_1⊕1,S_20,S_6,S_8])
3A|a,27A8	(3,2,{1,3},{},[S_1,S_1⊕1,S_22,S_2⊕1,S_3⊕1,S_5,S_8])
a,14	(3,2,{1,3},{},[S_17,S_1⊕1,S_22,S_2⊕1,S_5])
3A|1Aa	(3,2,{1,3},{},[S_1⊕1,S_20,S_3⊕1,S_8])
3A|a,1A	(3,2,{1,3},{},[S_1⊕1,S_22,S_3⊕1,S_5,S_8])
24,2a	(3,2,{3},{},[S_1,S_12,S_15,S_1⊕1])
3A|27a8A	(3,2,{3},{},[S_1,S_12,S_1⊕1,S_2⊕1,S_5,S_8])
3A|2A3a	(3,2,{3},{},[S_1,S_12,S_1⊕1,S_5,S_8])
2a,34	(3,2,{3},{},[S_1,S_15,S_1⊕1,S_25,S_8])
3AB|7AB8a	(3,2,{3},{},[S_1,S_15,S_1⊕1,S_5,S_8])
6,2a	(3,2,{3},{},[S_1,S_15,S_1⊕1])
3AB|a,2AB	(3,2,{3},{},[S_1,S_17,S_1⊕1,S_2⊕1,S_5,S_8])
3AB|2,a,AB	(3,2,{3},{},[S_1,S_17,S_1⊕1,S_2⊕1,S_8])
3AB|2a,AB	(3,2,{3},{},[S_1,S_1⊕1,S_8])
3,47a8	(3,2,{3},{},[S_12,S_15,S_18,S_1⊕1,S_20,S_2⊕1,S_4,S_8])
Aa|2728A	(3,3,{0},{0,1,2},[S_2⊕1,S_3,S_5])
Aa|2,23A	(3,3,{0},{0,1,2},[S_2⊕1,S_3])
ABa|2,2AB	(3,3,{0},{0,1},[S_1⊕1,S_2⊕1,S_3,S_5])
AB|Ca|3ACB	(3,3,{0},{0,1},[S_2⊕1,S_3,S_5])
6A|Aa	(3,3,{0},{1,2},[S_2⊕1,S_3])
Aa|24A	(3,3,{2},{0,1,2},[S_2,S_2⊕1,S_3])
Aa|A,24	(3,3,{2},{0,2},[S_2,S_2⊕1,S_3])
Aa|4,2A	(3,3,{2},{0,2},[S_2,S_2⊕1])
Aa|47A8	(3,3,{2},{2},[S_2,S_2⊕1,S_3])
AB|3,2AaB	(3,4,{0,1,2,3},{},[S_10,S_16,S_1⊕1,S_20,S_2⊕1,S_4,S_8])
3A|A,22a	(3,4,{0,1,3},{},[S_1,S_10,S_1⊕1,S_5,S_8])
2,2738a	(3,4,{0,1,3},{},[S_10,S_12,S_14,S_18,S_1⊕1,S_20,S_21,S_26,S_2⊕1,S_4,S_5,S_8])
2,12a	(3,4,{0,1,3},{},[S_10,S_18,S_1⊕1,S_20,S_26,S_5])
2,3,4a	(3,4,{0,1,3},{},[S_10,S_18,S_1⊕1,S_20,S_2⊕1,S_4,S_6,S_8])
3,24a	(3,4,{0,1,3},{},[S_10,S_18,S_1⊕1,S_20,S_2⊕1,S_4,S_8])
AB|37AaB8	(3,4,{0,1},{},[S_16,S_18,S_1⊕1,S_21,S_2⊕1,S_8])
AB|1AaB	(3,4,{0,1},{},[S_16,S_18,S_1⊕1,S_2⊕1])
AB|5AaB	(3,4,{0,1},{},[S_16,S_1⊕1,S_21,S_2⊕1,S_8])
3A|2A2a	(3,4,{0,3},{},[S_1,S_10,S_1⊕1,S_5])
2,4,3a	(3,4,{0,3},{},[S_1,S_14,S_17,S_1⊕1,S_4,S_7,S_8])
2,4,2a	(3,4,{0,3},{},[S_1,S_14,S_1⊕1,S_7,S_8])
3A|BC|BACa	(3,4,{0,3},{},[S_1,S_16,S_3,S_5])
3A|4Aa	(3,4,{0,3},{},[S_1,S_18,S_2⊕1,S_3,S_8])
3A|A,4a	(3,4,{0,3},{},[S_1,S_18,S_3,S_5,S_8])
3A|a,22A	(3,4,{1,3},{},[S_1,S_1⊕1,S_2⊕1,S_5,S_8,S_9])
3A|2,a,2A	(3,4,{1,3},{},[S_1,S_1⊕1,S_2⊕1,S_8,S_9])
2,2,4,a	(3,4,{2,3},{},[S_1,S_17,S_1⊕1,S_2⊕1,S_9])
3A|a,4A	(3,4,{3},{},[S_1,S_17,S_2⊕1,S_3,S_5,S_8])
3A|4,A,a	(3,4,{3},{},[S_1,S_17,S_3,S_5,S_8])
